year, mi.I, mi.EI, mi.seI_norm, mi.z_norm, mi.p_norm
2009,-0.0610932605547,-0.011904761904761904,0.0668352293042,-0.735966632598,0.461751004519
2010,-0.0646024495124,-0.011904761904761904,0.0668352293042,-0.788471711047,0.430420839296
2011,-0.0783600576902,-0.011904761904761904,0.0668352293042,-0.99431537046,0.320069354965
2012,-0.0972753355614,-0.011904761904761904,0.0668352293042,-1.27732895578,0.201486135006
2013,-0.110682368249,-0.011904761904761904,0.0668352293042,-1.47792724544,0.13942725286
2014,-0.100024115944,-0.011904761904761904,0.0668352293042,-1.31845667258,0.187350820027
2015,-0.084028890873,-0.011904761904761904,0.0668352293042,-1.07913341091,0.280528258954
2016,-0.0719744925238,-0.011904761904761904,0.0668352293042,-0.8987734649,0.368773336726
