year, mi.I, mi.EI, mi.seI_norm, mi.z_norm, mi.p_norm
2009,-0.00605830300791,-0.011904761904761904,0.0668352293042,0.087475706416,0.930293394868
2010,-0.0163012070039,-0.011904761904761904,0.0668352293042,-0.0657803548353,0.947552696926
2011,-0.0152615865259,-0.011904761904761904,0.0668352293042,-0.0502253774854,0.959942788762
2012,-0.0329472579695,-0.011904761904761904,0.0668352293042,-0.314841383561,0.752882088852
2013,-0.0340348614415,-0.011904761904761904,0.0668352293042,-0.331114290579,0.740558157606
2014,-0.0378016074853,-0.011904761904761904,0.0668352293042,-0.387472981692,0.69840608329
2015,0.00860831904345,-0.011904761904761904,0.0668352293042,0.306920185085,0.758904124633
2016,0.0213331398213,-0.011904761904761904,0.0668352293042,0.497311104819,0.618969682004
