year, mi.I, mi.EI, mi.seI_norm, mi.z_norm, mi.p_norm
2009,0.0118222443277,-0.011904761904761904,0.0668352293042,0.355007478534,0.722583988628
2010,-0.00117617569714,-0.011904761904761904,0.0668352293042,0.160522920611,0.872469167699
2011,-0.0124148420795,-0.011904761904761904,0.0668352293042,-0.00763190580837,0.993910679299
2012,-0.00300929076319,-0.011904761904761904,0.0668352293042,0.133095543087,0.89411781989
2013,-0.0123442122057,-0.011904761904761904,0.0668352293042,-0.00657512969656,0.99475384333
2014,-0.0126173700787,-0.011904761904761904,0.0668352293042,-0.0106621639719,0.991492985164
2015,0.000991519755538,-0.011904761904761904,0.0668352293042,0.192956346444,0.846993156034
2016,0.00542765324831,-0.011904761904761904,0.0668352293042,0.259330525735,0.795380228685
